作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,検出書籍名,著者,ジャンルから,検索方法,アクション
ISBNから,2021-01-22 14:18:52,非会員,,,,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
ISBNから,2021-01-22 14:32:58,keiko03851k,53,青森県,黒石市,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
ISBNから,2021-01-22 14:43:51,keiko03851k,53,青森県,黒石市,dq57,かわいいラッコちゃん,姫野 桃花,,,詳細を見る,
ISBNから,2021-01-22 14:50:16,非会員,,,,dq57,かわいいラッコちゃん,姫野 桃花,,,詳細を見る,
ISBNから,2021-01-22 14:55:21,非会員,,,,dq55,読書力,齋藤 孝,,,詳細を見る,
ISBNから,2021-01-22 20:52:00,非会員,,,,dq54,思考の整理学,外山 滋比古,,,詳細を見る,
ISBNから,2021-01-23 01:44:05,非会員,,,,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,,詳細を見る,
ISBNから,2021-01-23 01:44:27,非会員,,,,dq50,トロッコ,芥川 龍之介,,,詳細を見る,
ISBNから,2021-01-23 01:45:09,非会員,,,,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
ISBNから,2021-01-23 01:46:33,非会員,,,,dq57,かわいいラッコちゃん,姫野 桃花,,,詳細を見る,
ISBNから,2021-01-23 02:55:03,yukari05831k,58,神奈川県,藤沢市,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,,詳細を見る,
ISBNから,2021-01-23 02:55:25,yukari05831k,58,神奈川県,藤沢市,dq56,僕たちの戦争,荻原 浩,,,詳細を見る,
良さそうな/新読Q本,2021-01-23 07:38:57,yukari88001k,58,神奈川県,藤沢市,dq57,かわいいラッコちゃん,姫野 桃花,,,詳細を見る,
ISBNから,2021-01-23 07:45:26,yukari88001k,58,神奈川県,藤沢市,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
良さそうな/新読Q本,2021-01-23 07:46:47,yukari88001k,58,神奈川県,藤沢市,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
ISBNから,2021-01-23 14:51:29,yukari88001k,58,神奈川県,藤沢市,dq56,僕たちの戦争,荻原 浩,,,詳細を見る,
