読Ｑ本ＩＤ, タイトル, タイトルよみがな, 著者ペンネーム姓, 著者ペンネーム名, 著者よみがな姓, 著者よみがな名, 著者読Ｑネーム, 出版社, ＩＳＢＮ, 読Q認定日 ,読Ｑ本ポイント, 出題数, 時短最大秒数, 読Q推薦図書か, 書店URL, 紙or青空電子, 推奨年代, 係数, ジャンル１, ジャンル２, ジャンル３, ジャンル４, 行数, 1行字数, 本文頁数, 空白頁数, 3/4空白頁数, 1/2空白頁数, 1/4空白頁数, p30短行数, p50短行数, p70短行数, p90短行数, p110短行数, 総字数, 参考字数, 登録者読Ｑネーム, 監修者読Ｑネーム, 著者監修者読Qネーム, 保有クイズ数, 受検回数, 受検者実数, 合格者数, 帯文数, 良書と認めた人数, 前年度合格者数順位/全登録冊数
dq276,ハンバーグつくろうよ,はんばーぐつくろうよ,角野,栄子,かどの,えいこ,,ポプラ社,459101068,2022-10-13,0.09,8,120,,,字数カウントしていない本,小学校低学年,0.2,児童書,日本の文学,,,8,20,77,14,25,23,16,0,0,0,0,0,4600,,yukari00161s,yukari00161s,,29,9,7,1,0,0,4/41,,
dq275,ピピンとトムトム 怪盗ダンダンの秘密,ぴぴんととむとむ かいとうだんだんのひみつ,高楼,方子,たかどの,ほうこ,,理論社,465201314,2022-10-11,4.54,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,14,38,163,2,8,15,30,4,1,2,1,1,64904,,asako03331k,yukari00161s,,41,0,0,0,0,0,4/41,,
dq274,三銃士,さんじゅうし,デュマ,アレクサンドル,でゅま,あれくさんどる,,学研プラス,405204380,2022-10-07,1.31,8,120,,,字数カウントしていない本,小学校低学年～小学校中学年,0.4,児童書,海外の文学,,,11,30,149,4,16,23,21,3,0,2,1,2,32783,,asako03331k,yukari88001k,,37,0,0,0,0,0,4/41,,
dq273,ふしぎ駄菓子屋銭天堂18,ふしぎだがしやぜにてんどう18,廣嶋,玲子,ひろしま,れいこ,,偕成社,403635780,2022-10-02,3.36,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,14,37,158,27,3,2,3,5,3,3,3,5,47930,,asako03331k,yukari88001k,,44,0,0,0,0,0,4/41,,
dq272,雨ふる本屋と雨もりの森,あめふるほんやとあまもりのもり,日向,理恵子,ひなた,りえこ,,童心社,449402054,2022-09-30,8.21,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,13,37,356,28,8,8,29,3,5,1,1,4,117277,,asako03331k,yukari05831k,,64,0,0,0,0,0,4/41,,
dq271,雨ふる本屋とうずまき天気,あめふるほんやとうずまきてんき,日向,理恵子,ひなた,りえこ,,童心社,449402053,2022-09-26,9.65,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,13,37,358,21,7,5,32,2,2,2,0,1,137881,,asako03331k,yukari88001k,,61,0,0,0,0,0,4/41,,
dq270,雨ふる本屋の雨ふらし,あめふるほんやのあめふらし,日向,理恵子,ひなた,りえこ,,童心社,449402031,2022-09-23,8.87,12,180,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,13,37,334,21,5,6,23,2,1,2,1,2,126751,,asako03331k,yukari88001k,,61,0,0,0,0,0,4/41,,
dq269,雨ふる本屋,あめふるほんや,日向,理恵子,ひなた,りえこ,,童心社,449401942,2022-09-22,5.31,10,150,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,日本の文学,,,13,37,231,11,5,2,24,5,1,2,4,4,75874,,asako03331k,yukari88001k,,50,0,0,0,0,0,4/41,,
dq268,赤毛のアン,あかげのあん,モンゴメリ,ルーシー・モード,もんごめり,るーしー・もーど,,学研プラス,405204010,2022-09-21,2.63,8,120,,,字数カウントしていない本,小学校中学年～小学校高学年,0.7,児童書,海外の文学,,,30,11,149,6,9,21,18,0,1,4,3,1,37612,,asako03331k,yukari88001k,,34,0,0,0,0,0,4/41,,
dq267,なんでも魔女商会?おきゃくさまはオバケ！,なんでもまじょしょうかい?おきゃくさまはおばけ！,あんびる,やすこ,あんびる,やすこ,,岩崎書店,426505463,2022-09-19,1.02,8,120,,,字数カウントしていない本,小学校中学年,0.5,児童書,日本の文学,,,11,32,127,21,14,40,13,2,2,2,1,4,20346,,mizuho00641k,yukari00161s,,0,0,0,0,0,0,4/41,,
