作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2022-09-30 17:59:43,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-22,1,yukari88001k,,,,8.46,10,0,
回答開始,2022-09-30 17:59:53,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-36,2,yukari88001k,,,,8.46,10,0,
正答,2022-09-30 17:59:53,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-22,1,yukari88001k,9,,,8.46,10,0,
回答開始,2022-09-30 18:00:06,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-20,3,yukari88001k,,,,8.46,10,0,
正答,2022-09-30 18:00:07,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-36,2,yukari88001k,12,,,8.46,10,0,
回答開始,2022-09-30 18:00:23,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-31,4,yukari88001k,,,,8.46,10,0,
誤答,2022-09-30 18:00:23,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-20,3,yukari88001k,15,,,8.46,10,0,
回答開始,2022-09-30 18:00:37,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-27,5,yukari88001k,,,,8.46,10,0,
正答,2022-09-30 18:00:37,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-31,4,yukari88001k,12,,,8.46,10,0,
回答開始,2022-09-30 18:00:50,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-27,6,yukari88001k,,,,8.46,10,0,
誤答,2022-09-30 18:00:51,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-27,5,yukari88001k,12,,,8.46,10,0,
誤答,2022-09-30 18:00:52,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-2,7,Tae01351,0,,,8.46,10,0,
不合格15度目,2022-09-30 18:00:52,yukari05831k,59,神奈川県,藤沢市,dq265,,,,,Tae01351,71,0,0,8.46,10,0,
回答開始,2022-09-30 18:01:02,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-23,0,yukari88001k,,,,8.46,10,0,
回答開始,2022-09-30 18:01:10,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-11,1,yukari88001k,,,,8.46,10,0,
誤答,2022-09-30 18:01:11,yukari05831k,59,神奈川県,藤沢市,dq265,,,dq265-11,2,Tae01351,0,,,8.46,10,0,
