作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
ログイン,2021-02-12 00:59:42,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログアウト,2021-02-12 01:02:49,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2021-02-12 01:17:59,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログイン,2021-02-12 09:05:03,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 09:12:52,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
顔登録,2021-02-12 09:14:21,taiyo06312,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 09:14:21,taiyo06312,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログアウト,2021-02-12 09:21:18,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2021-02-14 08:46:27,shota04572,一般,7,神奈川県,座間市,,,,,
ログイン,2021-02-14 08:47:39,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2021-02-14 08:48:52,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2021-02-14 08:49:13,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログアウト,2021-02-14 08:52:46,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2021-02-14 09:01:22,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2021-02-14 09:01:22,maria05841,一般,7,神奈川県,南足柄市,,,,,
顔登録,2021-02-14 09:07:16,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2021-02-14 09:07:16,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
顔登録,2021-02-14 09:13:28,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2021-02-14 09:13:28,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2021-02-16 13:45:11,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-16 14:07:52,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-19 03:36:43,toshikazu09372k,監修者,49,神奈川県,鎌倉市,,,,,
顔登録,2021-02-19 03:37:34,toshikazu09372k,監修者,49,神奈川県,鎌倉市,,,,,
ログイン,2021-02-19 03:37:34,toshikazu09372k,監修者,49,神奈川県,鎌倉市,,,,,
基本情報更新,2021-02-19 03:38:12,toshikazu09372k,監修者,49,神奈川県,鎌倉市,,,,,
ログアウト,2021-02-19 03:38:43,toshikazu09372k,監修者,49,神奈川県,鎌倉市,,,,,
ログイン,2021-02-19 04:04:38,toshikazu09372k,監修者,49,神奈川県,鎌倉市,,,,,
顔認証成功,2021-02-19 04:05:19,mariko06981k,監修者,59,長野県,東筑摩郡麻績村,,,,,
顔認証成功,2021-02-19 04:06:34,mariko06981k,監修者,59,長野県,東筑摩郡麻績村,,,,,
ログアウト,2021-02-19 04:09:00,toshikazu09372k,監修者,49,神奈川県,鎌倉市,,,,,
ログイン,2021-02-21 05:11:27,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-21 05:16:13,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-21 05:16:32,keiko03851k,監修者,53,青森県,黒石市,,,,,
ログアウト,2021-02-21 05:19:02,keiko03851k,監修者,53,青森県,黒石市,,,,,
ログイン,2021-02-21 05:19:24,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-21 05:31:38,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,内容,対象 読Qﾈｰﾑ,いいね！した帯文
問合せ,2021-01-22 21:58:58,,,,,,EozIQLqGn,,,
問合せ,2021-01-22 21:59:05,,,,,,fRhJgBILpq,,,
問合せ,2021-01-22 22:45:12,,,,,,eEmsbLrTRyjcN,,,
問合せ,2021-01-22 22:45:13,,,,,,HKMExPaUNAsYtqLB,,,
問合せ,2021-01-26 02:29:34,,,,,,zGjIqdab,,,
問合せ,2021-01-26 02:29:36,,,,,,oYaFtQzNiqElHnby,,,
帯文,2021-01-27 05:39:45,rina05771,32,dq59,野ばら,小川 未明,短いお話なのに じんわり胸を打ちます,yukari05831k,,
いいね！,2021-01-27 05:40:01,rina05771,32,dq59,野ばら,小川 未明,,yukari05831k,短いお話なのに じんわり胸を打ちます,
問合せ,2021-01-28 18:00:59,,,,,,cNqlrhvJPAYnt,,,
問合せ,2021-01-28 18:01:01,,,,,,GamJMEBY,,,
問合せ,2021-02-15 20:44:52,,,,,,bAwsCHONjSzeDali,,,
問合せ,2021-02-15 20:44:54,,,,,,epcGxwIMv,,,
問合せ,2021-02-15 22:02:03,,,,,,orxWnbtPG,,,
問合せ,2021-02-15 22:02:07,,,,,,eEqrJiFvkug,,,
問合せ,2021-02-19 17:52:58,,,,,,TlVQAcykSD,,,
問合せ,2021-02-19 17:53:00,,,,,,CBviExUnVr,,,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,クイズ?,獲得point,現在の生涯point,現在の級,内容
本の申請,2021-01-26 08:14:44,yukari05831k,58,dq58,Test book,ddd ccc,,0,5.32,10,,
本の申請,2021-01-26 12:44:11,yukari05831k,58,dq59,野ばら,小川 未明,,0.16,5.32,10,,
クイズ送信,2021-01-26 14:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,＃大きな国＊くに＊の兵士＊へいし＊は老人＊ろうじん＊で、小さな国の兵士は青年＊せいねん＊でした。＃　（こたえは〇）,
クイズ送信,2021-01-26 14:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,＃小さな国＊くに＊の兵士＊へいし＊は老人＊ろうじん＊で、大きな国の兵士は青年＊せいねん＊でした。＃　（こたえは?）,
クイズ送信,2021-01-26 14:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたつの国＊くに＊から、#ひとりずつ#の兵隊＊へいたい＊が派遣＊はけん＊されて、国境＊こっきょう＊を定＊さだ＊めた石碑＊せきひ＊を守＊まも＊っていました。(こたえは〇）,
クイズ送信,2021-01-26 14:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたつの国＊くに＊から それぞれ派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
人通＊ひとどお＊りが多いところでした#。（こたえは ?）,
クイズ送信,2021-01-26 14:50:06,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたつの国＊くに＊から それぞれ派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
いたってさびしい山でした#。（こたえは 〇）,
クイズ送信,2021-01-26 14:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたつの国＊くに＊から 派遣＊はけん＊された兵士＊へいし＊が 番＊ばん＊をしているのは、#
お城＊しろ＊でした#。（こたえは?）,
クイズ送信,2021-01-26 14:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,二人の兵士＊へいし＊が仲＊なか＊よくなったのは、＃ほかに話＊はなし＊をする相手＊あいて＊もなく退屈＊たいくつ＊だったからです＃。（こたえは〇）,
クイズ送信,2021-01-26 14:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたりの兵士＊へいし＊は、みつばちの羽音＊はおと＊を ＃うるさい＃と 思＊おも＊いました。（こたえは?）,
クイズ送信,2021-01-26 14:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたりの兵士＊へいし＊は、みつばちの羽音＊はおと＊を ＃快＊こころよ＊い＃と 思＊おも＊いました。（こたえは〇）,
クイズ送信,2021-01-26 14:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,青年＊せいねん＊は最初＊さいしょ＊ ＃将棋＊しょうぎ＊の歩＊あゆ＊み方＊かた＊を知＊し＊りませんでした＃。（こたえは〇）,
クイズ送信,2021-01-26 14:50:07,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.32,10,ふたりの兵士＊へいし＊は いい天気＊てんき＊の日に、よく ＃すもうをしました＃。（こたえは?）,
