作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,検出書籍名,著者,ジャンルから,検索方法,アクション
ISBNから,2021-02-16 06:34:45,非会員,,,,dq50,トロッコ,芥川 龍之介,,,詳細を見る,
ISBNから,2021-02-16 13:39:10,yukari88001k,58,神奈川県,藤沢市,dq59,野ばら,小川 未明,,,詳細を見る,
ISBNから,2021-02-16 13:46:05,yukari05831k,58,神奈川県,藤沢市,dq59,野ばら,小川 未明,,,詳細を見る,
ISBNから,2021-02-16 13:48:31,yukari05831k,58,神奈川県,藤沢市,dq59,野ばら,小川 未明,,,詳細を見る,
ISBNから,2021-02-16 15:17:20,非会員,,,,dq43,明日の記憶,荻原 浩,,,詳細を見る,
ISBNから,2021-02-16 20:53:12,非会員,,,,dq43,明日の記憶,荻原 浩,,,詳細を見る,
ISBNから,2021-02-16 22:22:46,非会員,,,,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
