作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,検出書籍名,著者,ジャンルから,検索方法,アクション
書籍名から,2020-03-13 08:31:11,kumiko01731,79,神奈川県,厚木市,dq29,最後の一枚の葉,ヘンリー オー,,最後の,詳細を見る,
書籍名から,2020-04-16 07:38:47,suzue01811,8,神奈川県,藤沢市,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,大どろぼう,受検する,
書籍名から,2020-06-18 08:27:38,sinnosuke03562,8,神奈川県,藤沢市,dq50,トロッコ,芥川 龍之介,,トロッコ,受検する,
書籍名から,2020-06-18 08:28:17,sinnosuke03562,8,神奈川県,藤沢市,dq50,トロッコ,芥川 龍之介,,トロッコ,受検する,
書籍名から,2020-06-19 12:18:01,yukari05831k,57,神奈川県,藤沢市,dq50,トロッコ,芥川 龍之介,,トロッコ,受検する,
書籍名から,2020-06-22 14:43:46,masami03431,49,神奈川県,厚木市,dq50,トロッコ,芥川 龍之介,,トロッコ,詳細を見る,
書籍名から,2020-06-24 02:53:17,masami03431,49,神奈川県,厚木市,dq29,最後の一枚の葉,ヘンリー オー,,最後の一枚の葉,詳細を見る,
書籍名から,2020-06-24 03:15:10,masami03431,49,神奈川県,厚木市,dq29,最後の一枚の葉,ヘンリー オー,,最後の一枚の葉,詳細を見る,
書籍名から,2020-06-24 03:16:16,masami03431,49,神奈川県,厚木市,dq50,トロッコ,芥川 龍之介,,トロッコ,詳細を見る,
書籍名から,2020-08-01 03:05:46,Tae01351,35,神奈川県,藤沢市,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,大どろぼう,受検する,
書籍名から,2020-09-06 13:08:54,rika06651,8,鳥取県,境港市,dq29,最後の一枚の葉,ヘンリー オー,,最後の一枚の葉,受検する,
書籍名から,2020-09-08 08:28:28,maria05841,7,神奈川県,南足柄市,dq50,トロッコ,芥川 龍之介,,トロッコ,受検する,
書籍名から,2020-09-08 09:48:15,maria05841,7,神奈川県,南足柄市,dq29,最後の一枚の葉,ヘンリー オー,,さいご,受検する,
書籍名から,2020-09-08 14:42:19,natsumi08911k,41,神奈川県,藤沢市,dq50,トロッコ,芥川 龍之介,,トロッコ,受検する,
書籍名から,2020-09-08 14:55:23,taiyo06312,7,神奈川県,南足柄市,dq50,トロッコ,芥川 龍之介,,トロッコ,受検する,
書籍名から,2020-09-08 15:05:19,tomomi02261,8,神奈川県,藤沢市,dq50,トロッコ,芥川 龍之介,,トロッコ,受検する,
書籍名から,2020-09-26 00:39:52,martina03721,10,青森県,黒石市,dq50,トロッコ,芥川 龍之介,,トロッコ,受検する,
書籍名から,2020-09-26 00:42:04,martina03721,10,青森県,黒石市,dq29,最後の一枚の葉,ヘンリー オー,,最後,受検する,
