作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2020-09-07 10:19:42,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-54,1,yukari05831k,,,,0,10,0,
回答開始,2020-09-07 10:19:54,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-71,2,yukari05831k,,,,0,10,0,
正答,2020-09-07 10:19:54,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-54,1,yukari05831k,12,,,0,10,0,
回答開始,2020-09-07 10:20:03,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-69,3,yukari05831k,,,,0,10,0,
正答,2020-09-07 10:20:03,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-71,2,yukari05831k,8,,,0,10,0,
回答開始,2020-09-07 10:20:11,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-8,4,yukari05831k,,,,0,10,0,
正答,2020-09-07 10:20:11,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-69,3,yukari05831k,6,,,0,10,0,
回答開始,2020-09-07 10:20:17,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-32,5,yukari05831k,,,,0,10,0,
正答,2020-09-07 10:20:17,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-8,4,yukari05831k,5,,,0,10,0,
回答開始,2020-09-07 10:20:24,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-56,6,yukari05831k,,,,0,10,0,
誤答,2020-09-07 10:20:24,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-32,5,yukari05831k,6,,,0,10,0,
回答開始,2020-09-07 10:20:34,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-13,7,yukari05831k,,,,0,10,0,
正答,2020-09-07 10:20:34,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-56,6,yukari05831k,9,,,0,10,0,
正答,2020-09-07 10:20:40,shuhei07142,8,神奈川県,藤沢市,dq46,,,dq46-13,7,yukari05831k,5,,,0,10,0,
合格,2020-09-07 10:20:42,shuhei07142,8,神奈川県,藤沢市,dq46,,,,,Rumi08201k,60,2.75,0.27,3.02,10,3.02,
回答開始,2020-09-07 10:36:15,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-13,0,yukari05831k,,,,3.71,10,0,
回答開始,2020-09-07 10:36:21,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-12,1,yukari05831k,,,,3.71,10,0,
回答開始,2020-09-07 10:36:30,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-8,2,yukari05831k,,,,3.71,10,0,
正答,2020-09-07 10:36:30,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-12,1,yukari05831k,7,,,3.71,10,0,
回答開始,2020-09-07 10:36:39,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-24,3,yukari05831k,,,,3.71,10,0,
正答,2020-09-07 10:36:39,suzue01811,8,神奈川県,藤沢市,dq50,,,dq50-8,2,yukari05831k,8,,,3.71,10,0,
