作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
ログアウト,2020-09-01 14:38:23,hiroko06091k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-01 14:49:32,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
会費支払い,2020-09-01 15:08:11,yukari05831k,監修者,57,神奈川県,藤沢市,,[読書認定書  作成または期間延長,300,2021-03-01,
読書認定書,2020-09-01 15:08:11,yukari05831k,監修者,57,神奈川県,藤沢市,,545366,0,2021-03-01,
ログアウト,2020-09-01 15:10:27,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-01 15:36:26,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
会費支払い,2020-09-01 15:41:22,yukari05831k,監修者,57,神奈川県,藤沢市,,[読書認定書  作成または期間延長,300,2021-03-01,
読書認定書,2020-09-01 15:41:22,yukari05831k,監修者,57,神奈川県,藤沢市,,541389,0,2021-03-01,
ログアウト,2020-09-01 15:49:25,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-01 21:01:34,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証成功,2020-09-01 21:06:30,Rumi08201k,監修者,30,鳥取県,境港市,,,,,
顔認証成功,2020-09-01 21:07:23,Rumi08201k,監修者,30,鳥取県,境港市,,,,,
ログアウト,2020-09-01 22:57:42,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログイン,2020-09-01 22:58:53,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログイン,2020-09-02 00:32:41,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-02 00:37:07,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログアウト,2020-09-02 00:57:59,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-02 13:37:51,alex05342,一般,30,0,0,,,,,
ログアウト,2020-09-02 15:56:58,alex05342,一般,30,0,0,,,,,
ログイン,2020-09-02 15:58:34,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-02 16:41:43,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-02 16:41:54,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログアウト,2020-09-02 18:21:19,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログイン,2020-09-02 18:21:41,Soichiro09842,一般,9,神奈川県,藤沢市,,,,,
ログアウト,2020-09-02 18:47:15,Soichiro09842,一般,9,神奈川県,藤沢市,,,,,
ログイン,2020-09-02 18:47:43,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログアウト,2020-09-02 19:04:42,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログイン,2020-09-02 19:05:16,suzue01811,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2020-09-02 19:08:06,suzue01811,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-09-02 19:08:30,Soichiro09842,一般,9,神奈川県,藤沢市,,,,,
ログアウト,2020-09-02 19:17:53,Soichiro09842,一般,9,神奈川県,藤沢市,,,,,
ログイン,2020-09-03 00:22:23,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-03 00:53:02,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-03 09:42:44,kumiko01731,一般,79,神奈川県,厚木市,,,,,
ログアウト,2020-09-03 09:43:37,kumiko01731,一般,79,神奈川県,厚木市,,,,,
ログイン,2020-09-03 09:44:57,tomomi0148,一般,52,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-03 09:51:52,tomomi0148,一般,52,神奈川県,横浜市旭区,,,,,
ログイン,2020-09-03 10:55:48,Taro06592,監修者,18,神奈川県,厚木市,,,,,
ログアウト,2020-09-03 11:04:47,Taro06592,監修者,18,神奈川県,厚木市,,,,,
ログイン,2020-09-03 11:05:00,shiori09541k,監修者,31,神奈川県,三浦郡葉山町,,,,,
ログアウト,2020-09-03 11:09:55,shiori09541k,監修者,31,神奈川県,三浦郡葉山町,,,,,
ログイン,2020-09-03 15:49:37,kumiko07751k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-03 15:50:42,kumiko07751k,監修者,57,神奈川県,藤沢市,,,,,
退会ログアウト,2020-09-03 15:54:26,kumiko07751k,監修者,57,神奈川県,藤沢市,,128人,,,
正会員へ復活,2020-09-03 16:31:59,kumiko07751k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-03 16:38:52,shun082,一般,10,神奈川県,藤沢市,,,,,
ログアウト,2020-09-03 16:56:34,shun082,一般,10,神奈川県,藤沢市,,,,,
ログイン,2020-09-03 23:06:43,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-03 23:08:30,keiko03851k,監修者,52,青森県,黒石市,,,,,
ログアウト,2020-09-03 23:14:23,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-04 13:11:39,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-04 13:12:56,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
入会初ログイン,2020-09-04 22:21:57,kumiko07751k,監修者,57,神奈川県,藤沢市,,128人,,,
ログアウト,2020-09-04 22:22:35,kumiko07751k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-04 23:24:49,nao09351,一般,8,神奈川県,横浜市緑区,,,,,
ログアウト,2020-09-04 23:29:03,nao09351,生徒,8,神奈川県,横浜市緑区,,,,,
ログアウト,2020-09-04 23:40:52,shiori05761s,教職員,28,奈良県,御所市,,,,,
ログイン,2020-09-05 16:55:07,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-05 16:59:19,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-05 17:25:37,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-09-05 17:28:18,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログイン,2020-09-05 17:29:09,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-06 21:54:29,mina09551s,教職員,35,,,yonosho6840043,,,,
ログアウト,2020-09-06 22:01:57,mina09551s,教職員,35,,,yonosho6840043,,,,
ログイン,2020-09-06 22:02:24,rika06651,一般,8,鳥取県,境港市,,,,,
顔認証成功,2020-09-06 22:10:09,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証成功,2020-09-06 22:11:25,keiko03851k,監修者,52,青森県,黒石市,,,,,
ログアウト,2020-09-06 22:25:47,rika06651,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-09-06 22:26:10,hiroki06502,生徒,8,鳥取県,境港市,yonosho6840043,,,,
ログイン,2020-09-06 22:26:10,hiroki06502,一般,8,鳥取県,境港市,,,,,
顔認証失敗,2020-09-06 22:29:07,hiroki06502,生徒,8,鳥取県,境港市,yonosho6840043,,,,
ログアウト,2020-09-06 22:29:54,hiroki06502,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-09-06 22:46:25,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログアウト,2020-09-06 22:49:58,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログイン,2020-09-06 22:58:20,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログアウト,2020-09-06 23:09:14,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログイン,2020-09-06 23:09:57,takashi06652,一般,8,神奈川県,藤沢市,,,,,
顔登録,2020-09-06 23:12:37,takashi06652,生徒,8,神奈川県,藤沢市,kuzuharalilysho2520822,,,,
ログイン,2020-09-06 23:12:37,takashi06652,生徒,8,神奈川県,藤沢市,kuzuharalilysho2520822,,,,
顔認証成功,2020-09-06 23:12:58,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証成功,2020-09-06 23:13:37,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-09-06 23:15:20,takashi06652,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-09-06 23:27:03,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
準会員へ,2020-09-06 23:31:37,ryohei08722,生徒,8,辻堂元町5-7-3,平塚市,kuzuharalilysho2520822,転校,,,
ログアウト,2020-09-06 23:33:44,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログイン,2020-09-06 23:34:03,junichi0307,一般,8,神奈川県,座間市,,,,,
顔登録,2020-09-06 23:35:27,junichi0307,生徒,8,神奈川県,座間市,kuzuharalilysho2520822,,,,
ログイン,2020-09-06 23:35:27,junichi0307,生徒,8,神奈川県,座間市,kuzuharalilysho2520822,,,,
顔認証成功,2020-09-06 23:35:42,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証成功,2020-09-06 23:36:22,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログアウト,2020-09-06 23:47:15,junichi0307,生徒,8,神奈川県,座間市,,,,,
ログイン,2020-09-07 09:57:33,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-09-07 10:17:31,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-09-07 10:17:44,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
顔登録,2020-09-07 10:18:56,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログイン,2020-09-07 10:18:56,shuhei07142,生徒,8,神奈川県,藤沢市,nishiashigarasho2500105,,,,
顔認証成功,2020-09-07 10:19:26,Rumi08201k,監修者,30,鳥取県,境港市,,,,,
顔認証成功,2020-09-07 10:20:47,Rumi08201k,監修者,30,鳥取県,境港市,,,,,
ログアウト,2020-09-07 10:23:42,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-09-07 10:23:54,satomi01741,一般,8,鳥取県,境港市,,,,,
顔登録,2020-09-07 10:25:36,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
ログイン,2020-09-07 10:25:36,satomi01741,生徒,8,鳥取県,境港市,nishiashigarasho2500105,,,,
顔認証失敗,2020-09-07 10:26:42,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-09-07 10:27:51,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証成功,2020-09-07 10:28:15,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証失敗,2020-09-07 10:28:52,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証成功,2020-09-07 10:29:07,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-09-07 10:32:06,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-09-07 10:33:28,suzue01811,一般,8,神奈川県,藤沢市,,,,,
顔認証成功,2020-09-07 10:36:10,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証失敗,2020-09-07 10:37:32,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証成功,2020-09-07 10:37:44,keiko03851k,監修者,52,青森県,黒石市,,,,,
ログアウト,2020-09-07 10:41:14,suzue01811,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-09-07 10:44:10,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログアウト,2020-09-07 10:58:54,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログイン,2020-09-07 11:01:00,masae01101s,教職員,29,,,yonosho6840043,,,,
ログアウト,2020-09-07 11:08:27,masae01101s,教職員,29,,,yonosho6840043,,,,
ログイン,2020-09-07 11:08:41,ken06112,一般,8,鳥取県,境港市,,,,,
顔登録,2020-09-07 11:09:57,ken06112,生徒,8,鳥取県,境港市,yonosho6840043,,,,
ログイン,2020-09-07 11:09:57,ken06112,生徒,8,鳥取県,境港市,yonosho6840043,,,,
顔認証失敗,2020-09-07 11:10:18,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証失敗,2020-09-07 11:10:30,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証失敗,2020-09-07 11:10:47,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証失敗,2020-09-07 11:11:21,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証失敗,2020-09-07 11:13:05,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証失敗,2020-09-07 11:15:06,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-09-07 11:15:27,ken06112,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-09-07 17:14:42,syoko07031,一般,17,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-07 17:15:49,syoko07031,一般,17,神奈川県,横浜市旭区,,,,,
ログイン,2020-09-07 17:16:10,syoko07031,一般,17,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-07 17:23:52,syoko07031,一般,17,神奈川県,横浜市旭区,,,,,
ログイン,2020-09-07 18:39:20,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-09-07 18:52:09,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-09-07 22:25:15,takumi08091s,教職員,36,,,nanamatsu2510043,,,,
ログアウト,2020-09-07 22:31:47,takumi08091s,教職員,36,,,nanamatsu2510043,,,,
ログイン,2020-09-07 22:32:06,shotaro08502,一般,7,神奈川県,藤沢市,,,,,
顔登録,2020-09-07 22:33:57,shotaro08502,生徒,7,神奈川県,藤沢市,nanamatsu2510043,,,,
ログイン,2020-09-07 22:33:57,shotaro08502,生徒,7,神奈川県,藤沢市,nanamatsu2510043,,,,
顔認証成功,2020-09-07 22:34:15,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証成功,2020-09-07 22:35:30,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログアウト,2020-09-07 22:36:47,shotaro08502,生徒,7,神奈川県,藤沢市,,,,,
ログイン,2020-09-07 23:53:54,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログアウト,2020-09-08 00:42:55,kenichi04032s,教職員,60,qqq,www,kuzuharalilysho2520822,,,,
ログイン,2020-09-08 01:02:52,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-08 01:38:35,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-08 01:39:34,takashi06652,一般,8,神奈川県,藤沢市,,,,,
ログイン,2020-09-08 10:48:00,yoshiko05031s,教職員,30,奈良県,御所市,kuzuharalilysho2520822,,,,
ログアウト,2020-09-08 10:59:49,yoshiko05031s,教職員,30,奈良県,御所市,kuzuharalilysho2520822,,,,
ログイン,2020-09-08 15:47:01,hiroko06091k,監修者,57,神奈川県,藤沢市,,,,,
顔認証成功,2020-09-08 16:13:01,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-09-08 16:15:15,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-09-08 16:16:16,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログアウト,2020-09-08 16:28:35,hiroko06091k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-08 16:31:31,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-08 17:08:24,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-08 17:09:05,shota04572,一般,7,神奈川県,座間市,,,,,
顔認証成功,2020-09-08 17:11:41,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証成功,2020-09-08 17:12:23,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-08 17:16:36,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2020-09-08 17:17:31,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
顔認証成功,2020-09-08 17:20:22,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証失敗,2020-09-08 17:22:03,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証失敗,2020-09-08 17:22:44,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証失敗,2020-09-08 17:22:44,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-08 17:25:38,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2020-09-08 17:27:33,maria05841,一般,7,神奈川県,南足柄市,,,,,
顔登録,2020-09-08 17:33:03,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2020-09-08 17:33:03,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
顔認証成功,2020-09-08 17:35:05,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証失敗,2020-09-08 17:36:19,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログイン,2020-09-08 17:39:35,sinnosuke03562,一般,8,神奈川県,藤沢市,,,,,
顔認証成功,2020-09-08 17:41:31,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証成功,2020-09-08 17:44:14,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-08 17:45:38,sinnosuke03562,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-09-08 17:48:14,satomi01741,一般,8,鳥取県,境港市,,,,,
顔認証成功,2020-09-08 17:50:37,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-08 17:59:24,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログイン,2020-09-08 17:59:45,ayumi04041s,教職員,42,神奈川県,藤沢市,nishiashigarasho2500105,,,,
顔認証成功,2020-09-08 18:09:19,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-08 18:15:22,ayumi04041s,教職員,42,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログイン,2020-09-08 18:17:49,junichi0307,一般,8,神奈川県,座間市,,,,,
顔認証成功,2020-09-08 18:20:08,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-09-08 18:21:19,Tae01351,一般,35,神奈川県,藤沢市,,,,,
顔認証失敗,2020-09-08 18:21:32,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログイン,2020-09-08 18:42:23,tomomi02261,一般,8,神奈川県,藤沢市,,,,,
顔登録,2020-09-08 18:43:54,tomomi02261,生徒,8,神奈川県,藤沢市,nanamatsu2510043,,,,
ログイン,2020-09-08 18:43:54,tomomi02261,生徒,8,神奈川県,藤沢市,nanamatsu2510043,,,,
顔認証成功,2020-09-08 18:44:16,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証失敗,2020-09-08 18:45:05,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証成功,2020-09-08 18:45:18,keiko03851k,監修者,52,青森県,黒石市,,,,,
顔認証成功,2020-09-08 18:49:42,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証失敗,2020-09-08 18:50:44,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証成功,2020-09-08 18:50:52,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログアウト,2020-09-08 19:22:54,tomomi02261,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-09-08 23:41:31,natsumi08911k,監修者,41,神奈川県,藤沢市,,,,,
顔認証成功,2020-09-08 23:43:22,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
顔認証成功,2020-09-08 23:45:40,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-09-08 23:53:57,natsumi08911k,監修者,41,神奈川県,藤沢市,,,,,
ログイン,2020-09-08 23:54:39,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
顔認証成功,2020-09-08 23:56:25,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
顔認証失敗,2020-09-08 23:58:29,masayuki06802,一般,51,神奈川県,横浜市旭区,,,,,
ログイン,2020-09-09 00:04:39,tomomi02261,一般,8,神奈川県,藤沢市,,,,,
顔認証成功,2020-09-09 00:06:12,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-09-09 00:13:42,tomomi02261,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2020-09-09 00:15:35,tomomi0148,一般,52,神奈川県,横浜市旭区,,,,,
顔認証成功,2020-09-09 00:17:29,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログアウト,2020-09-09 00:19:01,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2020-09-10 18:09:08,ryota0402s,教職員,34,,,yonosho6840043,,,,
ログアウト,2020-09-10 18:22:00,ryota0402s,教職員,34,,,yonosho6840043,,,,
ログイン,2020-09-10 18:33:02,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-10 18:34:15,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-10 18:34:40,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログアウト,2020-09-10 19:06:16,Tae01351,一般,35,神奈川県,藤沢市,,,,,
ログイン,2020-09-13 14:05:45,tomoko04781,一般,17,神奈川県,横浜市旭区,,,,,
顔登録,2020-09-13 14:08:33,tomoko04781,一般,17,神奈川県,横浜市旭区,,,,,
ログイン,2020-09-13 14:08:33,tomoko04781,一般,17,神奈川県,横浜市旭区,,,,,
退会ログアウト,2020-09-13 14:10:01,tomoko04781,一般,17,神奈川県,横浜市旭区,,125人,,,
正会員へ復活,2020-09-13 14:17:58,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
入会初ログイン,2020-09-13 14:20:03,tomoko04781,一般,17,神奈川県,藤沢市,,126人,,,
基本情報更新,2020-09-13 14:21:19,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
ログアウト,2020-09-13 14:31:17,tomoko04781,一般,17,神奈川県,藤沢市,,,,,
ログイン,2020-09-14 12:04:44,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
顔登録,2020-09-14 12:05:59,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-09-14 12:05:59,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
基本情報更新,2020-09-14 12:07:12,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2020-09-14 12:07:24,atsushi02582s,教職員,41,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2020-09-14 21:50:28,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-14 22:57:17,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-14 23:00:20,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログアウト,2020-09-14 23:00:51,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2020-09-14 23:10:47,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログアウト,2020-09-14 23:11:07,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2020-09-14 23:12:26,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログアウト,2020-09-14 23:13:16,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2020-09-14 23:53:41,ayumi04041s,教職員,42,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログアウト,2020-09-15 00:02:25,ayumi04041s,教職員,42,神奈川県,藤沢市,nishiashigarasho2500105,,,,
ログイン,2020-09-18 11:11:14,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-18 11:32:35,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-22 01:46:11,yuri05241,一般,47,神奈川県,高座郡寒川町,,,,,
ログイン,2020-09-22 03:43:10,takumi02302,一般,9,神奈川県,藤沢市,,,,,
ログイン,2020-09-22 06:08:14,takumi02302,一般,9,神奈川県,藤沢市,,,,,
ログイン,2020-09-22 09:11:52,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログイン,2020-09-22 17:27:03,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログイン,2020-09-22 22:11:55,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログアウト,2020-09-22 22:15:04,chinatsu09291s,教職員,32,,,nanamatsu2510043,,,,
ログイン,2020-09-22 22:15:10,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログアウト,2020-09-22 22:16:00,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログイン,2020-09-22 22:54:58,yuko03981k,監修者,35,茨城県,水戸市,,,,,
顔認証失敗,2020-09-22 22:57:49,yuko03981k,監修者,35,茨城県,水戸市,,,,,
ログアウト,2020-09-22 22:58:07,yuko03981k,監修者,35,茨城県,水戸市,,,,,
ログイン,2020-09-23 00:19:13,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログイン,2020-09-23 01:17:10,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログイン,2020-09-23 02:09:47,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログアウト,2020-09-23 02:12:53,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログイン,2020-09-23 03:00:56,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログイン,2020-09-23 03:06:04,takumi02302,一般,9,神奈川県,藤沢市,,,,,
ログアウト,2020-09-23 05:28:03,takumi02302,生徒,9,神奈川県,藤沢市,,,,,
ログイン,2020-09-24 18:23:53,yuri05241,一般,47,神奈川県,高座郡寒川町,,,,,
ログアウト,2020-09-24 18:44:03,yuri05241,一般,47,神奈川県,高座郡寒川町,,,,,
ログイン,2020-09-25 13:10:01,natsumi08911k,監修者,41,神奈川県,藤沢市,,,,,
ログイン,2020-09-25 13:11:51,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-25 13:18:34,natsumi08911k,監修者,41,神奈川県,藤沢市,,,,,
ログアウト,2020-09-25 13:20:02,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-25 13:20:17,natsumi08911k,監修者,41,神奈川県,藤沢市,,,,,
ログアウト,2020-09-25 13:37:19,natsumi08911k,監修者,41,神奈川県,藤沢市,,,,,
ログイン,2020-09-25 13:37:37,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-25 15:17:40,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-25 18:23:11,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログアウト,2020-09-25 18:24:07,yukari05831k,監修者,57,神奈川県,藤沢市,,,,,
ログイン,2020-09-25 18:27:06,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログアウト,2020-09-25 18:28:31,mariko06981k,監修者,58,長野県,東筑摩郡麻績村,,,,,
ログイン,2020-09-25 20:24:58,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログアウト,2020-09-25 20:25:11,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログイン,2020-09-25 20:26:46,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログイン,2020-09-25 20:30:07,yuko03981k,監修者,35,茨城県,水戸市,,,,,
ログアウト,2020-09-25 20:30:20,mina09551k,監修者,35,鳥取県,境港市,,,,,
ログアウト,2020-09-25 20:30:31,yuko03981k,監修者,35,茨城県,水戸市,,,,,
