作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
顔認証成功,2021-02-19 13:06:34,mariko06981k,監修者,59,長野県,東筑摩郡麻績村,,,,,
ログアウト,2021-02-19 13:09:00,toshikazu09372k,監修者,49,神奈川県,鎌倉市,,,,,
ログイン,2021-02-21 14:11:27,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-21 14:16:13,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-21 14:16:32,keiko03851k,監修者,53,青森県,黒石市,,,,,
ログアウト,2021-02-21 14:19:02,keiko03851k,監修者,53,青森県,黒石市,,,,,
ログイン,2021-02-21 14:19:24,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-21 14:31:38,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-21 17:18:41,keiko03851k,監修者,53,青森県,黒石市,,,,,
ログアウト,2021-02-21 17:19:43,keiko03851k,監修者,53,青森県,黒石市,,,,,
ログイン,2021-02-21 21:06:49,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-21 21:08:11,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-23 13:15:00,chizuko07761,一般,56,神奈川県,藤沢市,,,,,
ログイン,2021-02-23 13:16:10,chizuko07761,一般,56,神奈川県,藤沢市,,,,,
基本情報更新,2021-02-23 14:36:48,hiroko88011k,一般,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-24 11:54:34,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-24 11:56:25,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-24 16:22:58,shota04572,一般,7,神奈川県,座間市,,,,,
ログアウト,2021-02-24 16:23:34,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2021-02-24 16:55:16,shota04572,一般,7,神奈川県,座間市,,,,,
ログアウト,2021-02-24 17:31:45,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2021-02-24 17:31:51,shota04572,一般,7,神奈川県,座間市,,,,,
ログイン,2021-02-24 18:36:45,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-24 18:37:56,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-25 15:33:10,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-27 10:52:09,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-02-28 16:01:34,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-02-28 18:44:58,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-03-03 15:40:19,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2021-03-03 15:58:09,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-03-03 15:58:44,shuhei07142,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2021-03-03 17:28:30,shuhei07142,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2021-03-03 17:28:48,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2021-03-03 17:29:25,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-03-03 17:29:50,chinatsu09291s,教職員,33,,,nanamatsu2510043,,,,
ログアウト,2021-03-03 17:30:07,chinatsu09291s,教職員,33,,,nanamatsu2510043,,,,
ログイン,2021-03-04 14:24:27,kumiko88021,一般,80,神奈川県,厚木市,,,,,
ログアウト,2021-03-04 14:24:33,kumiko88021,一般,80,神奈川県,厚木市,,,,,
ログイン,2021-03-07 23:08:38,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-03-07 23:09:04,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,内容,対象 読Qﾈｰﾑ,いいね！した帯文
問合せ,2021-02-16 05:44:52,,,,,,bAwsCHONjSzeDali,,,
問合せ,2021-02-16 05:44:54,,,,,,epcGxwIMv,,,
問合せ,2021-02-16 07:02:03,,,,,,orxWnbtPG,,,
問合せ,2021-02-16 07:02:07,,,,,,eEqrJiFvkug,,,
問合せ,2021-02-20 02:52:58,,,,,,TlVQAcykSD,,,
問合せ,2021-02-20 02:53:00,,,,,,CBviExUnVr,,,
問合せ,2021-02-21 22:06:54,,,,,,idEIvLmkzAUJwtSD,,,
問合せ,2021-02-21 22:06:56,,,,,,YNLodevpGCiRI,,,
問合せ,2021-02-22 00:03:24,,,,,,xQWSuMoq,,,
問合せ,2021-02-22 00:03:26,,,,,,rDaTiwZhtPQj,,,
問合せ,2021-02-22 21:35:38,,,,,,dQUmliDRkpKbLs,,,
問合せ,2021-02-22 21:35:40,,,,,,cNMozUWhgsQS,,,
帯文,2021-02-28 16:08:13,yukari05831k,58,dq50,トロッコ,芥川 龍之介,なんとなく自分の子ども時代を思い出す,yukari05831k,,
いいね！,2021-02-28 16:08:32,yukari05831k,58,dq50,トロッコ,芥川 龍之介,,yukari05831k,なんとなく自分の子ども時代を思い出す,
いいね！,2021-02-28 16:08:37,yukari05831k,58,dq50,トロッコ,芥川 龍之介,,yukari05831k,ドキドキする気持ちが伝わってきます,
問合せ,2021-03-11 02:20:55,,,,,,oDQSALlgUjv,,,
問合せ,2021-03-11 02:20:56,,,,,,nMkSEzPLpFgmqYBv,,,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,クイズ?,獲得point,現在の生涯point,現在の級,内容
クイズ送信,2021-02-16 22:48:12,yukari05831k,58,dq59,野ばら,小川 未明,,0,5.43,10,国境＊こっきょう＊に咲＊さ＊く野ばらは、＃黄色＊きいろ＊でした＃。（答えは?）,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,クイズ?,対象 読Qﾈｰﾑ,内容
クイズ追加,2021-02-16 22:48:12,yukari05831k,58,dq59,野ばら,小川 未明,dq59-29,,国境＊こっきょう＊に咲＊さ＊く野ばらは、＃黄色＊きいろ＊でした＃。（答えは?）,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,対象 読Qﾈｰﾑ,監督回数
開始顔認証,2021-02-19 13:05:19,mariko06981k,59,長野県,東筑摩郡麻績村,dq59,野ばら,小川 未明,toshikazu09372k,24,
合格顔認証,2021-02-19 13:06:34,mariko06981k,59,長野県,東筑摩郡麻績村,dq59,野ばら,小川 未明,toshikazu09372k,25,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,検出書籍名,著者,ジャンルから,検索方法,アクション
書籍名から,2021-02-12 09:45:53,shota04572,7,神奈川県,座間市,dq56,僕たちの戦争,荻原 浩,,僕たちの戦争,受検する,
書籍名から,2021-02-12 10:00:10,taiyo06312,7,神奈川県,南足柄市,dq56,僕たちの戦争,荻原 浩,,僕たちの戦争,受検する,
書籍名から,2021-02-12 10:18:16,taiyo06312,7,神奈川県,南足柄市,dq56,僕たちの戦争,荻原 浩,,僕たちの戦争,受検する,
ISBNから,2021-02-12 13:26:02,非会員,,,,dq50,トロッコ,芥川 龍之介,,,詳細を見る,
書籍名から,2021-02-12 18:13:33,taiyo06312,7,神奈川県,南足柄市,dq56,僕たちの戦争,荻原 浩,,僕たちの戦争,受検する,
ISBNから,2021-02-12 20:11:37,非会員,,,,dq57,サンプル物語,姫野 桃花,,,詳細を見る,
ISBNから,2021-02-12 20:15:22,非会員,,,,dq54,思考の整理学,外山 滋比古,,,詳細を見る,
ISBNから,2021-02-12 20:15:23,非会員,,,,dq43,明日の記憶,荻原 浩,,,詳細を見る,
ISBNから,2021-02-12 20:15:24,非会員,,,,dq55,読書力,齋藤 孝,,,詳細を見る,
ISBNから,2021-02-12 20:15:29,非会員,,,,dq56,僕たちの戦争,荻原 浩,,,詳細を見る,
ISBNから,2021-02-12 20:15:31,非会員,,,,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
ISBNから,2021-02-12 20:15:32,非会員,,,,dq57,サンプル物語,姫野 桃花,,,詳細を見る,
ISBNから,2021-02-12 20:15:32,非会員,,,,dq50,トロッコ,芥川 龍之介,,,詳細を見る,
ISBNから,2021-02-12 20:15:38,非会員,,,,dq59,野ばら,小川 未明,,,詳細を見る,
ISBNから,2021-02-12 20:16:18,非会員,,,,dq46,大どろぼうホッツェンプロッツ,プロイスラー オトフリート,,,詳細を見る,
ISBNから,2021-02-12 20:29:41,非会員,,,,dq55,読書力,齋藤 孝,,,詳細を見る,
ISBNから,2021-02-12 20:31:31,非会員,,,,dq56,僕たちの戦争,荻原 浩,,,詳細を見る,
ISBNから,2021-02-12 20:37:56,非会員,,,,dq57,サンプル物語,姫野 桃花,,,詳細を見る,
ISBNから,2021-02-12 20:38:49,非会員,,,,dq59,野ばら,小川 未明,,,詳細を見る,
ISBNから,2021-02-13 13:10:22,非会員,,,,dq56,僕たちの戦争,荻原 浩,,,詳細を見る,
ISBNから,2021-02-14 01:00:10,非会員,,,,dq56,僕たちの戦争,荻原 浩,,,詳細を見る,
ISBNから,2021-02-14 01:00:40,非会員,,,,dq55,読書力,齋藤 孝,,,詳細を見る,
ISBNから,2021-02-14 01:00:40,非会員,,,,dq43,明日の記憶,荻原 浩,,,詳細を見る,
ISBNから,2021-02-14 01:00:40,非会員,,,,dq54,思考の整理学,外山 滋比古,,,詳細を見る,
書籍名から,2021-02-14 18:03:49,maria05841,7,神奈川県,南足柄市,dq56,僕たちの戦争,荻原 浩,,僕たちの戦争,受検する,
ISBNから,2021-02-16 15:34:45,非会員,,,,dq50,トロッコ,芥川 龍之介,,,詳細を見る,
ISBNから,2021-02-16 22:39:10,yukari88001k,58,神奈川県,藤沢市,dq59,野ばら,小川 未明,,,詳細を見る,
ISBNから,2021-02-16 22:46:05,yukari05831k,58,神奈川県,藤沢市,dq59,野ばら,小川 未明,,,詳細を見る,
ISBNから,2021-02-16 22:48:31,yukari05831k,58,神奈川県,藤沢市,dq59,野ばら,小川 未明,,,詳細を見る,
ISBNから,2021-02-17 00:17:20,非会員,,,,dq43,明日の記憶,荻原 浩,,,詳細を見る,
ISBNから,2021-02-17 05:53:12,非会員,,,,dq43,明日の記憶,荻原 浩,,,詳細を見る,
ISBNから,2021-02-17 07:22:46,非会員,,,,dq29,最後の一枚の葉,ヘンリー オー,,,詳細を見る,
